SITE,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,SITEVISITID.x,METHOD,REGION_NAME,ANALYSIS_SEC,ANALYSIS_YEAR,ANALYSIS_STRATA,DATE_.x,LATITUDE.x,LONGITUDE.x,DEPTH,ANALYSIS_SCHEME,Watershed,RICHNESS
TUT-02305,2016,SAMOA,Tutuila,Forereef,Shallow,9414,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-26,-14.289558,-170.74007,3.8,AS_SANCTUARY,Aasu,65
TUT-02299,2016,SAMOA,Tutuila,Forereef,Shallow,9476,nSPC,American Samoa,TUT_NW,2016,ForereefShallow,2016-04-30,-14.288523,-170.739988,4.3,AS_SANCTUARY,Aasu,45
TUT-02283,2016,SAMOA,Tutuila,Forereef,Mid,9413,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.29012,-170.758295,8.55,AS_SANCTUARY,Aasu,56
TUT-01079,2015,SAMOA,Tutuila,Forereef,Mid,8224,nSPC,American Samoa,TUT_NW,2015,ForereefMid,2015-03-04,-14.28069745,-170.73167972,10.7,AS_SANCTUARY,Aasu,53
TUT-02282,2016,SAMOA,Tutuila,Forereef,Mid,9479,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-30,-14.28101,-170.732824,10.95,AS_SANCTUARY,Aasu,57
TUT-02284,2016,SAMOA,Tutuila,Forereef,Mid,9408,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.290654,-170.744512,11.1,AS_SANCTUARY,Aasu,29
TUT-02294,2016,SAMOA,Tutuila,Forereef,Mid,9420,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-26,-14.288876,-170.742567,16.35,AS_SANCTUARY,Aasu,44
TUT-02263,2016,SAMOA,Tutuila,Forereef,Mid,9486,nSPC,American Samoa,TUT_NW,2016,ForereefMid,2016-04-30,-14.280773,-170.73305,17.4,AS_SANCTUARY,Aasu,57
TUT-02261,2016,SAMOA,Tutuila,Forereef,Deep,9480,nSPC,American Samoa,TUT_NW,2016,ForereefDeep,2016-04-30,-14.283211,-170.735238,23.3,AS_SANCTUARY,Aasu,36
TUT-01214,2015,SAMOA,Tutuila,Forereef,Deep,8225,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.28867191,-170.75800309,26.15,AS_SANCTUARY,Aasu,17
TUT-01024,2015,SAMOA,Tutuila,Forereef,Deep,8214,nSPC,American Samoa,TUT_NW,2015,ForereefDeep,2015-03-04,-14.27826268,-170.73883183,28.5,AS_SANCTUARY,Aasu,45
